data.num_clients,Client ID,client.local_epochs,strategy,server_kWh,round_energy_kWh,round_server_kWh
10,0,1,fedadam,7.27E-03,3.79E-05,7.27E-05
10,0,1,fedavg,1.80E-02,3.75E-05,6.01E-05
10,0,1,fedyogi,2.19E-02,3.75E-05,7.30E-05
10,0,3,fedavg,0.01010673965,0.0001299463087,0.0001010673965
10,0,3,fedyogi,0.01011489569,0.0001269220095,0.0001011489569
10,0,5,fedavg,0.01295220924,0.0002231963234,0.0001295220924
10,0,5,fedyogi,0.01288660087,0.0002179937874,0.0001288660087
10,1,1,fedadam,7.27E-03,3.85E-05,7.27E-05
10,1,1,fedavg,1.80E-02,3.85E-05,6.01E-05
10,1,1,fedyogi,2.19E-02,3.86E-05,7.30E-05
10,1,3,fedavg,0.01010673965,0.0001369066471,0.0001010673965
10,1,3,fedyogi,0.01011489569,0.0001349054739,0.0001011489569
10,1,5,fedavg,0.01295220924,0.000235453945,0.0001295220924
10,1,5,fedyogi,0.01288660087,0.0002313902099,0.0001288660087
10,2,1,fedavg,1.80E-02,2.13E-05,6.01E-05
10,2,1,fedyogi,2.19E-02,2.12E-05,7.30E-05
10,2,3,fedavg,1.01E-02,7.76E-05,0.0001010673965
10,2,3,fedyogi,1.01E-02,7.75E-05,0.0001011489569
10,2,5,fedavg,0.01295220924,0.0001328616717,0.0001295220924
10,2,5,fedyogi,0.01288660087,0.0001336079618,0.0001288660087
10,3,1,fedadam,7.27E-03,3.78E-05,7.27E-05
10,3,1,fedavg,1.80E-02,3.81E-05,6.01E-05
10,3,1,fedyogi,2.19E-02,3.81E-05,7.30E-05
10,3,3,fedavg,0.01010673965,0.0001275793486,0.0001010673965
10,3,3,fedyogi,0.01011489569,0.0001264184451,0.0001011489569
10,3,5,fedavg,0.01295220924,0.000218188248,0.0001295220924
10,3,5,fedyogi,0.01288660087,0.0002147678824,0.0001288660087
10,4,1,fedadam,7.27E-03,3.89E-05,7.27E-05
10,4,1,fedavg,1.80E-02,3.86E-05,6.01E-05
10,4,1,fedyogi,2.19E-02,3.83E-05,7.30E-05
10,4,3,fedavg,0.01010673965,0.0001299224672,0.0001010673965
10,4,3,fedyogi,0.01011489569,0.0001305932793,0.0001011489569
10,4,5,fedavg,0.01295220924,0.0002216396401,0.0001295220924
