Client ID,Server Round,Start Time,End Time
2,1,2024-01-20 22:55:51,2024-01-20 22:56:20
2,2,2024-01-20 22:56:37,2024-01-20 22:56:58
2,3,2024-01-20 22:57:11,2024-01-20 22:57:32
2,4,2024-01-20 22:57:47,2024-01-20 22:58:09
2,5,2024-01-20 22:58:22,2024-01-20 22:58:44
2,6,2024-01-20 22:58:58,2024-01-20 22:59:19
2,7,2024-01-20 22:59:32,2024-01-20 22:59:54
2,8,2024-01-20 23:00:08,2024-01-20 23:00:29
2,9,2024-01-20 23:00:43,2024-01-20 23:01:04
2,10,2024-01-20 23:01:18,2024-01-20 23:01:40
2,11,2024-01-20 23:01:53,2024-01-20 23:02:14
2,12,2024-01-20 23:02:28,2024-01-20 23:02:49
2,13,2024-01-20 23:03:02,2024-01-20 23:03:24
2,14,2024-01-20 23:03:38,2024-01-20 23:03:59
2,15,2024-01-20 23:04:13,2024-01-20 23:04:34
2,16,2024-01-20 23:04:49,2024-01-20 23:05:10
2,17,2024-01-20 23:05:24,2024-01-20 23:05:45
2,18,2024-01-20 23:05:59,2024-01-20 23:06:20
2,19,2024-01-20 23:06:33,2024-01-20 23:06:54
2,20,2024-01-20 23:07:08,2024-01-20 23:07:29
