timestamp, RAM%, GPU%, GPU inst power, GPU avg power, CPU%, CPU inst power, CPU avg power, tot inst power, tot avg power
2024-01-20 23:35:21.643875,6,0.0,0,0,7.62,2780,2780,8792,8792
2024-01-20 23:35:22.622974,6,0.0,0,0,7.75,1439,2109,7356,8073
2024-01-20 23:35:23.622970,6,0.0,0,0,2.87,1150,1629,7066,7569
2024-01-20 23:35:24.631199,6,0.0,0,0,6.37,1916,1772,7926,7747
2024-01-20 23:35:25.659733,6,0.0,0,0,88.12,10012,5892,16007,11877
2024-01-20 23:35:26.664867,6,0.0,0,0,99.75,10768,8330,16763,14319
2024-01-20 23:35:27.649311,6,0.0,0,0,100.0,10863,9596,16858,15588
2024-01-20 23:35:28.656523,7,0.0,0,0,99.5,10863,10229,17088,16337
2024-01-20 23:35:29.656509,7,0.0,0,0,99.75,10959,10594,16954,16645
2024-01-20 23:35:30.649552,7,0.0,95,47,98.87,10863,10728,17032,16836
2024-01-20 23:35:31.667980,7,0.0,0,23,99.0,10394,10561,16619,16727
2024-01-20 23:35:32.660268,7,0.0,0,11,99.25,10203,10382,16428,16577
2024-01-20 23:35:33.675475,7,0.0,0,5,100.0,10584,10483,17040,16807
2024-01-20 23:35:34.668887,7,0.0,0,2,99.12,10394,10438,16485,16645
2024-01-20 23:35:35.628362,7,0.0,0,1,83.12,6875,8656,13011,14827
2024-01-20 23:35:36.628652,7,0.0,0,0,2.87,1629,5142,7641,11232
2024-01-20 23:35:37.630620,7,0.0,0,0,2.87,1151,3146,7069,9149
2024-01-20 23:35:38.630717,7,0.0,0,0,2.62,1151,2148,7069,8108
2024-01-20 23:35:39.629818,8,0.0,0,0,2.87,1151,1648,7069,7588
2024-01-20 23:35:40.631942,8,0.0,0,0,2.62,1151,1400,7069,7328
2024-01-20 23:35:41.632972,8,0.0,0,0,3.0,1151,1275,7069,7197
2024-01-20 23:35:42.631848,8,0.0,0,0,2.75,1151,1213,7069,7131
2024-01-20 23:35:43.632007,8,0.0,0,0,2.87,1151,1182,7069,7100
2024-01-20 23:35:44.633961,8,0.0,0,0,2.75,1151,1166,7067,7083
2024-01-20 23:35:45.632981,8,0.0,0,0,2.75,1151,1158,7067,7073
2024-01-20 23:35:46.634058,8,0.0,0,0,2.62,1151,1154,7069,7070
2024-01-20 23:35:47.644653,8,0.0,0,0,5.37,1917,1535,7929,7498
2024-01-20 23:35:48.643969,8,0.0,383,191,15.75,2491,2013,9178,8338
2024-01-20 23:35:49.646873,8,0.0,383,287,15.37,2586,2299,9313,8824
2024-01-20 23:35:50.648935,9,12.6,383,335,14.87,2491,2395,9218,9021
2024-01-20 23:35:51.653595,9,22.8,287,311,15.25,2491,2443,9122,9071
2024-01-20 23:35:52.651092,10,10.19,287,299,15.0,2395,2419,8986,9028
2024-01-20 23:35:53.653669,10,22.7,383,341,14.12,2395,2407,8986,9006
2024-01-20 23:35:54.655590,11,9.3,383,362,15.0,2586,2496,9273,9138
2024-01-20 23:35:55.655900,11,15.8,383,372,15.12,2491,2493,9218,9176
2024-01-20 23:35:56.662130,12,99.4,575,473,13.87,2299,2396,9314,9243
2024-01-20 23:35:57.659423,12,35.29,3536,2005,9.5,2294,2345,12628,10934
2024-01-20 23:35:58.660523,12,0.0,5350,3677,14.12,2484,2414,14858,12894
2024-01-20 23:35:59.659894,12,99.2,5350,4513,14.25,2484,2449,14858,13875
2024-01-20 23:36:00.660796,12,0.8,5350,4931,14.75,2484,2466,14858,14363
2024-01-20 23:36:01.661876,12,6.4,5637,5284,14.12,2482,2474,15238,14800
2024-01-20 23:36:02.660804,12,0.0,5159,5221,14.62,2579,2526,14859,14827
2024-01-20 23:36:03.661730,12,73.2,5159,5190,14.25,2484,2505,14666,14746
2024-01-20 23:36:04.662553,12,0.0,5446,5318,13.87,2482,2493,14991,14868
2024-01-20 23:36:05.662888,12,56.3,5637,5477,14.0,2578,2535,15334,15099
2024-01-20 23:36:06.670653,12,0.0,5350,5413,13.87,2482,2508,14856,14975
2024-01-20 23:36:07.663802,12,43.4,5637,5525,14.25,2484,2496,15240,15107
2024-01-20 23:36:08.666133,12,47.6,5258,5391,14.37,2484,2490,14808,14956
2024-01-20 23:36:09.666903,12,0.0,5446,5418,14.0,2484,2487,14956,14955
2024-01-20 23:36:10.664865,12,80.5,5159,5288,14.62,2484,2485,14762,14856
2024-01-20 23:36:11.665696,12,6.6,5350,5319,14.12,2482,2483,14856,14854
2024-01-20 23:36:12.667005,12,0.0,3925,4622,14.5,2583,2533,13443,14147
2024-01-20 23:36:13.660616,12,0.0,1342,2982,8.12,1532,2032,9122,11633
2024-01-20 23:36:14.660643,12,0.0,1055,2018,3.0,1246,1639,8551,10090
2024-01-20 23:36:15.665965,12,0.0,287,1152,3.0,1150,1394,7528,8807
2024-01-20 23:36:16.663074,12,0.0,0,576,2.87,1151,1272,7203,8003
2024-01-20 23:36:17.662929,12,0.0,0,288,2.75,1151,1211,7163,7581
2024-01-20 23:36:18.669944,12,0.0,0,144,2.75,1151,1181,7163,7372
2024-01-20 23:36:19.667140,12,99.1,479,311,8.25,1723,1452,8507,7938
2024-01-20 23:36:20.672448,12,0.0,383,347,7.87,2011,1730,8738,8337
2024-01-20 23:36:21.671547,12,2.6,4780,2563,13.25,2484,2107,14194,11264
2024-01-20 23:36:22.672785,12,82.7,5255,3909,14.37,2578,2342,14857,13059
2024-01-20 23:36:23.674587,12,0.0,5350,4629,14.12,2484,2413,14955,14005
2024-01-20 23:36:24.673714,12,55.8,5446,5037,14.12,2484,2448,15144,14572
2024-01-20 23:36:25.673390,12,15.1,5350,5193,14.12,2482,2465,14856,14713
2024-01-20 23:36:26.674487,12,0.0,5542,5367,14.12,2482,2473,15088,14897
2024-01-20 23:36:27.678218,12,96.3,5159,5263,14.12,2484,2478,14669,14782
2024-01-20 23:36:28.672909,12,0.0,5542,5402,14.12,2484,2481,15050,14915
2024-01-20 23:36:29.673778,12,54.0,5255,5328,14.0,2484,2482,14763,14838
2024-01-20 23:36:30.674959,12,0.0,5542,5435,14.25,2484,2483,15090,14963
2024-01-20 23:36:31.676140,12,0.2,5542,5488,14.12,2482,2482,15183,15069
2024-01-20 23:36:32.677116,12,72.09,5350,5419,14.0,2579,2530,14993,15030
2024-01-20 23:36:33.678151,12,0.0,5255,5337,14.0,2578,2554,14897,14962
2024-01-20 23:36:34.679222,12,60.4,5733,5535,14.0,2482,2518,15374,15166
2024-01-20 23:36:35.678187,12,16.5,5258,5396,14.25,2484,2501,14768,14966
2024-01-20 23:36:36.674768,12,0.0,2586,3990,13.37,2106,2303,11168,13066
