timestamp, RAM%, GPU%, GPU inst power, GPU avg power, CPU%, CPU inst power, CPU avg power, tot inst power, tot avg power
2024-01-20 22:40:26.454067,5,0.0,0,0,5.87,2113,2113,7823,7823
2024-01-20 22:40:27.428629,5,0.0,0,0,7.87,1152,1632,6862,7342
2024-01-20 22:40:28.428412,5,0.0,0,0,3.0,960,1296,6670,7006
2024-01-20 22:40:29.439434,5,0.0,0,0,6.25,1729,1512,7439,7222
2024-01-20 22:40:30.474292,5,0.0,0,0,87.87,9203,5357,14949,11084
2024-01-20 22:40:31.457739,5,0.0,0,0,100.0,9970,7663,15713,13397
2024-01-20 22:40:32.455474,5,0.0,0,0,99.5,9964,8813,15708,14552
2024-01-20 22:40:33.456930,5,0.0,0,0,99.5,10059,9436,15897,15224
2024-01-20 22:40:34.459240,5,0.0,0,0,99.5,10155,9795,15899,15560
2024-01-20 22:40:35.457214,6,0.0,383,191,95.37,9772,9783,16057,15807
2024-01-20 22:40:36.466923,6,0.0,95,143,99.25,10059,9921,15937,15871
2024-01-20 22:40:37.465189,6,0.0,0,71,99.75,9459,9690,15291,15580
2024-01-20 22:40:38.460794,6,0.0,0,35,99.87,9364,9527,15196,15387
2024-01-20 22:40:39.459249,7,0.0,0,17,99.25,9841,9684,15997,15690
2024-01-20 22:40:40.463810,6,0.0,0,8,99.5,9555,9619,15291,15488
2024-01-20 22:40:41.453420,6,0.0,0,4,97.75,8981,9300,14813,15150
2024-01-20 22:40:42.444549,7,0.0,287,145,16.87,2870,6085,9053,12100
2024-01-20 22:40:43.447421,7,1.4,382,263,15.5,2296,4190,8616,10356
2024-01-20 22:40:44.449826,8,25.6,287,275,14.87,2202,3196,8427,9391
2024-01-20 22:40:45.452049,8,15.1,287,281,14.37,2297,2746,8522,8955
2024-01-20 22:40:46.451991,9,0.0,287,284,14.87,2202,2474,8427,8690
2024-01-20 22:40:47.453126,9,1.3,287,285,13.62,2106,2290,8291,8490
2024-01-20 22:40:48.454381,9,11.2,288,286,15.87,2302,2296,8537,8513
2024-01-20 22:40:49.458236,10,47.1,480,383,14.62,2400,2348,9019,8765
2024-01-20 22:40:50.457168,10,0.0,3552,1967,13.87,2302,2325,12493,10628
2024-01-20 22:40:51.458368,10,0.0,3936,2951,14.0,2206,2265,12877,11751
2024-01-20 22:40:52.459449,10,6.1,4128,3539,14.0,2302,2283,13165,12457
2024-01-20 22:40:53.459467,10,85.4,4128,3833,14.12,2206,2244,13069,12762
2024-01-20 22:40:54.461511,10,0.0,3072,3452,14.62,2398,2321,11880,12320
2024-01-20 22:40:55.464275,11,0.0,1152,2302,12.25,1727,2024,9057,10688
2024-01-20 22:40:56.454289,11,0.0,480,1391,3.0,1056,1540,7364,9026
